country,name,1/1/2007,31/12/2007,1/1/2008,31/12/2008,1/1/2009,31/12/2009,1/1/2010,31/12/2010,1/1/2011,31/12/2011,1/1/2012,31/12/2012,1/1/2013,31/12/2013,1/1/2014,31/12/2014,1/1/2015,31/12/2015,1/1/2016,31/12/2016,1/1/2017,31/12/2017,1/1/2018,31/12/2018,1/1/2019,31/12/2019,1/1/2020,31/12/2020,1/1/2021,31/12/2021
thailand,SET Index,679.84,858.1,858.1,449.96,449.96,734.54,734.54,1032.76,1032.76,1025.32,1025.32,1391.93,1391.93,1298.71,1298.71,1497.67,1497.67,1288.02,1288.02,1542.94,1542.94,1753.71,1753.71,1563.88,1563.88,1579.84,1579.84,1449.35,1449.35,1657.62
france,CM100 Index,7801.43,7652.11,7652.11,4422.23,4422.23,6094.31,6094.31,7234.18,7234.18,5672.99,5672.99,6977.62,6977.62,8850.04,8850.04,9615.36,9615.36,11174.39,11174.39,11925.45,11925.45,14568.97,14568.97,11579.67,11579.67,13863.92,13863.92,13472.45,13472.45,15515.71
france,NKY Index,17225.83,15307.78,15307.78,8859.56,8859.56,10546.44,10546.44,10228.92,10228.92,8455.35,8455.35,10395.18,10395.18,16291.31,16291.31,17450.77,17450.77,19033.71,19033.71,19114.37,19114.37,22764.94,22764.94,20014.77,20014.77,23656.62,23656.62,27444.17,27444.17,28791.71
Australia,AS30 Index,5644.3,6421,6421,3659.3,3659.3,4882.7,4882.7,4846.9,4846.9,4111.04,4111.04,4664.59,4664.59,5353.08,5353.08,5388.6,5388.6,5344.6,5344.6,5719.1,5719.1,6167.29,6167.29,5709.4,5709.4,6802.4,6802.4,6850.61,6850.61,7779.21
Australia,AS52 Index,5676.5,6356.7,6356.7,3704.1,3704.1,4868.2,4868.2,4760.8,4760.8,4052.27,4052.27,4626.28,4626.28,5304.81,5304.81,5348.9,5348.9,5249.1,5249.1,5617.7,5617.7,6023.3,6023.3,5597,5597,6647.7,6647.7,6574.33,6574.33,7453.91
Australia,AS51 Index,5669.87,6339.84,6339.84,3722.31,3722.31,4870.64,4870.64,4745.24,4745.24,4056.56,4056.56,4648.95,4648.95,5352.21,5352.21,5411.02,5411.02,5295.86,5295.86,5665.79,5665.79,6065.13,6065.13,5646.4,5646.4,6684.08,6684.08,6587.1,6587.1,7444.64
Argentina,MERVAL Index,2090.46,2151.73,2151.73,1079.66,1079.66,2320.73,2320.73,3523.59,3523.59,2462.63,2462.63,2854.29,2854.29,5391.03,5391.03,8579.02,8579.02,11675.18,11675.18,16917.86,16917.86,30065.61,30065.61,30292.55,30292.55,41671.41,41671.41,51226.49,51226.49,83500.11
Argentina,IBG Index,103164.3,121652.6,121652.6,62180.16,62180.16,126569.6,126569.6,188392.4,188392.4,144518,144518,164018.9,164018.9,265324.6,265324.6,414609.5,414609.5,479544.2,479544.2,747261.8,747261.8,1307017,1307017,1307828,1307828,1796571.66,1796571.66,2156062,2156062,3486253
Austria,WBI Index,1676.7,1653.79,1653.79,644.72,644.72,926.49,926.49,1104.39,1104.39,764.56,764.56,928.3,928.3,967.66,967.66,847.93,847.93,934.75,934.75,1033.47,1033.47,1336.81,1336.81,1109.32,1109.32,1267.36,1267.36,1134.58,1134.58,1513.76
Austria,ATX Index,4463.47,4512.98,4512.98,1750.83,1750.83,2495.56,2495.56,2904.47,2904.47,1891.68,1891.68,2401.21,2401.21,2546.54,2546.54,2160.08,2160.08,2396.94,2396.94,2618.43,2618.43,3420.14,3420.14,2745.78,2745.78,3186.94,3186.94,2780.44,2780.44,3861.06
